file,generatedAt,result.averages.avgCloseAttempts,result.averages.avgCloseSuccess,result.averages.avgEndEquity,result.averages.avgEndEquityCore,result.averages.avgEndPrice,result.averages.avgEndUSDC,result.averages.avgEndWETH,result.averages.avgHedgeRealizedPnlUSDC,result.averages.avgHedgeTotalPnlUSDC,result.averages.avgHedgeUnrealizedPnlUSDC,result.averages.avgHoldOnlyEnd,result.averages.avgLongTradePnl,result.averages.avgMaxUtilizationBps,result.averages.avgOpenedLongs,result.averages.avgOpenedShorts,result.averages.avgOpenFailInsufficientLiquidity,result.averages.avgOpenFailNoOffset,result.averages.avgOpenFailOther,result.averages.avgPoolTradePnl,result.averages.avgRebalanceBoughtWETH,result.averages.avgRebalanceNeededWETH,result.averages.avgRebalancePostUSDC,result.averages.avgRebalancePostValueUSD,result.averages.avgRebalancePostValueUSDCore,result.averages.avgRebalancePostWETH,result.averages.avgRebalanceRemainingMissingWETH,result.averages.avgRebalanceTargetWETH,result.averages.avgRebalanceUSDCSpent,result.averages.avgShortTradePnl,result.averages.avgStartEquity,result.averages.avgStartPrice,result.averages.avgStartUSDC,result.averages.avgStartWETH,result.averages.bottomLine.deltaUSDC,result.averages.bottomLine.deltaWETH,result.averages.bottomLine.endPoolValueUSD,result.averages.bottomLine.endUSDC,result.averages.bottomLine.endWETH,result.averages.bottomLine.poolVsHoldUSDC,result.averages.bottomLine.postRebalanceDeltaUSDC,result.averages.bottomLine.postRebalanceDeltaWETH,result.averages.bottomLine.postRebalanceUSDC,result.averages.bottomLine.postRebalanceValueUSD,result.averages.bottomLine.postRebalanceVsHoldUSDC,result.averages.bottomLine.postRebalanceWETH,result.averages.bottomLine.rebalanceAction,result.averages.bottomLine.rebalanceBoughtWETH,result.averages.bottomLine.rebalanceSoldWETH,result.averages.bottomLine.rebalanceUSDCReceived,result.averages.bottomLine.rebalanceUSDCSpent,result.averages.rebalanceSuccessRate,result.averages.runs,result.bottomLine.deltaUSDC,result.bottomLine.deltaWETH,result.bottomLine.endPoolValueUSD,result.bottomLine.endUSDC,result.bottomLine.endWETH,result.bottomLine.poolVsHoldUSDC,result.bottomLine.postRebalanceDeltaUSDC,result.bottomLine.postRebalanceDeltaWETH,result.bottomLine.postRebalanceUSDC,result.bottomLine.postRebalanceValueUSD,result.bottomLine.postRebalanceVsHoldUSDC,result.bottomLine.postRebalanceWETH,result.bottomLine.rebalanceAction,result.bottomLine.rebalanceBoughtWETH,result.bottomLine.rebalanceFullyReachedTarget,result.bottomLine.rebalanceRemainingMissingWETH,result.bottomLine.rebalanceSoldWETH,result.bottomLine.rebalanceUSDCReceived,result.bottomLine.rebalanceUSDCSpent,result.model,result.pathLength,result.regime,result.runsPerScenario,result.scenarioKey,result.scenarioLabel,result.scenarioType,result.summary.closeAttempts,result.summary.closeSuccess,result.summary.endEquity,result.summary.endEquityCore,result.summary.endPrice,result.summary.endUSDC,result.summary.endWETH,result.summary.hedgeRealizedPnlUSDC,result.summary.hedgeTotalPnlUSDC,result.summary.hedgeUnrealizedPnlUSDC,result.summary.holdOnlyEnd,result.summary.longTradePnl,result.summary.maxUtilizationBps,result.summary.openedLongs,result.summary.openedShorts,result.summary.openFailInsufficientLiquidity,result.summary.openFailNoOffset,result.summary.openFailOther,result.summary.poolTradePnl,result.summary.rebalanceBoughtWETH,result.summary.rebalanceFullyReachedTarget,result.summary.rebalanceNeededWETH,result.summary.rebalancePostUSDC,result.summary.rebalancePostValueUSD,result.summary.rebalancePostValueUSDCore,result.summary.rebalancePostWETH,result.summary.rebalanceRemainingMissingWETH,result.summary.rebalanceTargetWETH,result.summary.rebalanceUSDCSpent,result.summary.shortTradePnl,result.summary.startEquity,result.summary.startPrice,result.summary.startUSDC,result.summary.startWETH,result.targetTrades,result.title,scenarioName
model-v1-average-100-downtrend.json,2026-02-20T11:44:56.811Z,41741.29,9996.15,168122539057,,1499840000000000000000,52496400000,77083654454018088301,,,,149984000000,-5031300000,8638,9996.15,,3.85,,0,5031300000,22916345545981911698,22916345545981911698,18138539057,168122539057,,100000000000000000000,0,100000000000000000000,34357860942,,300000000000,3000000000000000000000,0,100000000000000000000,52496400000,-22916345545981911699,168122539057,52496400000,77083654454018088301,18138539057,18138539057,0,18138539057,168122539057,18138539057,100000000000000000000,BUY,22916345545981911699,0,0,34357860943,100,100,,,,,,,,,,,,,,,,,,,,v1,,,100,downtrend,Downtrend (target ~0.5x),average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v1-average-100-downtrend
model-v1-average-100-neutral.json,2026-02-20T11:44:56.812Z,48341.65,10000,300338961741,,3001840000000000000000,49929700000,83418445631447664329,,,,300184000000,140600000,5673,10000,,0,,0,-140600000,15907823551244286132,16581554368552335670,2179795521,300338961741,,99326269182691950462,673730817308049537,100000000000000000000,47749904478,,300000000000,3000000000000000000000,0,100000000000000000000,49929700000,-16581554368552335671,300338961741,49929700000,83418445631447664329,154961741,2179795521,-673730817308049538,2179795521,300338961741,154961741,99326269182691950462,BUY,15907823551244286133,0,0,47749904479,53,100,,,,,,,,,,,,,,,,,,,,v1,,,100,neutral,Neutral,average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v1-average-100-neutral
model-v1-average-100-uptrend.json,2026-02-20T11:44:56.809Z,41856.47,10000,571685607996,,5998920000000000000000,47016500000,87459274108118623147,,,,599892000000,5967000000,3851,10000,,0,,0,-5967000000,7839359908585846235,12540725891881376852,0,571685607996,,95298634016704469383,4701365983295530616,100000000000000000000,47016500000,,300000000000,3000000000000000000000,0,100000000000000000000,47016500000,-12540725891881376853,571685607996,47016500000,87459274108118623147,-28206392004,0,-4701365983295530617,0,571685607996,-28206392004,95298634016704469383,BUY,7839359908585846236,0,0,47016500000,0,100,,,,,,,,,,,,,,,,,,,,v1,,,100,uptrend,Uptrend (target ~2x),average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v1-average-100-uptrend
model-v1-random-10000-downtrend.json,2026-02-20T11:44:12.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53410000000,-20073603830251667167,175857238932,53410000000,79926396169748332833,22657238932,22657238932,0,22657238932,175857238932,22657238932,100000000000000000000,BUY,20073603830251667167,true,0,0,0,30752761068,v1,3000,downtrend,,,,random10000,41560,10000,175857238932,,1532000000000000000000,53410000000,79926396169748332833,,,,153200000000,-6820000000,6708,10000,,0,,0,6820000000,20073603830251667167,true,20073603830251667167,22657238932,175857238932,,100000000000000000000,0,100000000000000000000,30752761068,,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V1: Downtrend 10000 Trades (Target ~0.5x),model-v1-random-10000-downtrend
model-v1-random-10000-neutral.json,2026-02-20T11:44:13.110Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50490000000,-14651934939923242431,309777421652,50490000000,85348065060076757569,5977421652,5977421652,0,5977421652,309777421652,5977421652,100000000000000000000,BUY,14651934939923242431,true,0,0,0,44512578348,v1,3000,neutral,,,,random10000,48193,10000,309777421652,,3038000000000000000000,50490000000,85348065060076757569,,,,303800000000,-980000000,5119,10000,,0,,0,980000000,14651934939923242431,true,14651934939923242431,5977421652,309777421652,,100000000000000000000,0,100000000000000000000,44512578348,,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V1: Neutral 10000 Trades,model-v1-random-10000-neutral
model-v1-random-10000-uptrend.json,2026-02-20T11:44:11.617Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46160000000,-14199100395825854883,571347306477,46160000000,85800899604174145117,-40752693523,0,-6657848966320872038,0,571347306477,-40752693523,93342151033679127962,BUY,7541251429504982845,false,6657848966320872038,0,0,46160000000,v1,3000,uptrend,,,,random10000,42135,10000,571347306477,,6121000000000000000000,46160000000,85800899604174145117,,,,612100000000,7680000000,4852,10000,,0,,0,-7680000000,7541251429504982845,false,14199100395825854883,0,571347306477,,93342151033679127962,6657848966320872038,100000000000000000000,46160000000,,300000000000,3000000000000000000000,0,100000000000000000000,10000,Model V1: Uptrend 10000 Trades (Target ~2x),model-v1-random-10000-uptrend
model-v1-verbose-10-trades.json,2026-02-20T11:44:05.845Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000,-16408137006437343,999885918629,50000000,99983591862993562657,-114081371,0,-11408137006437343,0,999885918629,-114081371,99988591862993562657,BUY,5000000000000000,false,11408137006437343,0,0,50000000,v1,,,,,,verbose10,10,10,999885918629,,10000000000000000000000,50000000,99983591862993562657,,,,1000000000000,0,0,10,,0,,0,0,5000000000000000,false,16408137006437343,0,999885918629,,99988591862993562657,11408137006437343,100000000000000000000,50000000,,300000000000,3000000000000000000000,0,100000000000000000000,,,model-v1-verbose-10-trades
model-v2-average-100-downtrend.json,2026-02-20T11:45:27.661Z,41758.54,9999.63,155468643170,,1499840000000000000000,5910200000,99717444356779315370,,,,149984000000,-5031300000,7302,9999.63,,0.37,,0,5031300000,282555643220684629,282555643220684629,5484643170,155468643170,,100000000000000000000,0,100000000000000000000,425556829,,300000000000,3000000000000000000000,0,100000000000000000000,5910200000,-282555643220684630,155468643170,5910200000,99717444356779315370,5484643170,5484643170,0,5484643170,155468643170,5484643170,100000000000000000000,BUY,282555643220684630,0,0,425556830,100,100,,,,,,,,,,,,,,,,,,,,v2,,,100,downtrend,Downtrend (target ~0.5x),average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v2-average-100-downtrend
model-v2-average-100-neutral.json,2026-02-20T11:45:27.662Z,48341.65,10000,300316698447,,3001840000000000000000,2574100000,99186921567837623670,,,,300184000000,140600000,5217,10000,,0,,0,-140600000,563130635895391944,813078432162376329,882846710,300316698447,,99750052203733015614,249947796266984385,100000000000000000000,1691253289,,300000000000,3000000000000000000000,0,100000000000000000000,2574100000,-813078432162376330,300316698447,2574100000,99186921567837623670,132698447,882846710,-249947796266984386,882846710,300316698447,132698447,99750052203733015614,BUY,563130635895391944,0,0,1691253290,56,100,,,,,,,,,,,,,,,,,,,,v2,,,100,neutral,Neutral,average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v2-average-100-neutral
model-v2-average-100-uptrend.json,2026-02-20T11:45:27.659Z,41856.47,10000,591314417590,,5998920000000000000000,836100000,98431129085289148777,,,,599892000000,5967000000,3763,10000,,0,,0,-5967000000,139598692919249274,1568870914710851222,0,591314417590,,98570727778208398052,1429272221791601947,100000000000000000000,836100000,,300000000000,3000000000000000000000,0,100000000000000000000,836100000,-1568870914710851223,591314417590,836100000,98431129085289148777,-8577582410,0,-1429272221791601948,0,591314417590,-8577582410,98570727778208398052,BUY,139598692919249275,0,0,836100000,0,100,,,,,,,,,,,,,,,,,,,,v2,,,100,uptrend,Uptrend (target ~2x),average100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model-v2-average-100-uptrend
