model,scenario,runs,avgOpenedLongs,avgOpenedShorts,avgOpenFailInsufficientLiquidity,avgOpenFailNoOffset,avgOpenFailOther,avgCloseAttempts,avgCloseSuccess,avgLongTradePnlUSDC,avgShortTradePnlUSDC,avgPoolTradePnlUSDC,avgHedgeTotalPnlUSDC,avgMaxPoolUtilizationPct,avgStartUSDC,avgEndUSDC,avgDeltaUSDC,avgStartWETH,avgEndWETH,avgDeltaWETH,avgStartPriceUSDCPerETH,avgEndPriceUSDCPerETH,avgStartPoolValueUSD,avgEndPoolValueUSD,avgHoldOnlyEndValueUSD,avgPoolVsHoldUSD,rebalanceSuccessRatePct,avgRebalanceNeededWETH,avgRebalanceUSDCSpent,avgRebalanceBoughtWETH,avgRebalancePostWETH,avgRebalancePostUSDC,avgRebalanceMissingWETH,bottomLineEndWETH,bottomLineDeltaWETH,bottomLineEndUSDC,bottomLineDeltaUSDC,bottomLineEndPoolValueUSD,bottomLinePoolVsHoldUSD,bottomLinePostRebalanceWETH,bottomLinePostRebalanceUSDC,bottomLinePostRebalanceVsHoldUSD
V1,downtrend,100,9996.15,0.00,3.85,0.00,0.00,41741.29,9996.15,-5031.300000,0.000000,5031.300000,0.000000,86.38,0.000000,52496.400000,52496.400000,100.000000,77.083654,-22.916345,3000.00,1499.84,300000.000000,168122.539057,149984.000000,18138.539057,100.00,22.916345,34357.860942,22.916345,100.000000,18138.539057,0.000000,77.083654,-22.916345,52496.400000,52496.400000,168122.539057,18138.539057,100.000000,18138.539057,18138.539057
V1,neutral,100,10000.00,0.00,0.00,0.00,0.00,48341.65,10000.00,140.600000,0.000000,-140.600000,0.000000,56.73,0.000000,49929.700000,49929.700000,100.000000,83.418445,-16.581554,3000.00,3001.84,300000.000000,300338.961741,300184.000000,154.961741,53.00,16.581554,47749.904478,15.907823,99.326269,2179.795521,0.673730,83.418445,-16.581554,49929.700000,49929.700000,300338.961741,154.961741,99.326269,2179.795521,154.961741
V1,uptrend,100,10000.00,0.00,0.00,0.00,0.00,41856.47,10000.00,5967.000000,0.000000,-5967.000000,0.000000,38.51,0.000000,47016.500000,47016.500000,100.000000,87.459274,-12.540725,3000.00,5998.92,300000.000000,571685.607996,599892.000000,-28206.392004,0.00,12.540725,47016.500000,7.839359,95.298634,0.000000,4.701365,87.459274,-12.540725,47016.500000,47016.500000,571685.607996,-28206.392004,95.298634,0.000000,-28206.392004
V2,downtrend,100,9999.63,0.00,0.37,0.00,0.00,41758.54,9999.63,-5031.300000,0.000000,5031.300000,0.000000,73.02,0.000000,5910.200000,5910.200000,100.000000,99.717444,-0.282555,3000.00,1499.84,300000.000000,155468.643170,149984.000000,5484.643170,100.00,0.282555,425.556829,0.282555,100.000000,5484.643170,0.000000,99.717444,-0.282555,5910.200000,5910.200000,155468.643170,5484.643170,100.000000,5484.643170,5484.643170
V2,neutral,100,10000.00,0.00,0.00,0.00,0.00,48341.65,10000.00,140.600000,0.000000,-140.600000,0.000000,52.17,0.000000,2574.100000,2574.100000,100.000000,99.186921,-0.813078,3000.00,3001.84,300000.000000,300316.698447,300184.000000,132.698447,56.00,0.813078,1691.253289,0.563130,99.750052,882.846710,0.249947,99.186921,-0.813078,2574.100000,2574.100000,300316.698447,132.698447,99.750052,882.846710,132.698447
V2,uptrend,100,10000.00,0.00,0.00,0.00,0.00,41856.47,10000.00,5967.000000,0.000000,-5967.000000,0.000000,37.63,0.000000,836.100000,836.100000,100.000000,98.431129,-1.568870,3000.00,5998.92,300000.000000,591314.417590,599892.000000,-8577.582410,0.00,1.568870,836.100000,0.139598,98.570727,0.000000,1.429272,98.431129,-1.568870,836.100000,836.100000,591314.417590,-8577.582410,98.570727,0.000000,-8577.582410
V3,downtrend,100,9999.77,0.00,0.23,0.00,0.00,1637300.33,9306.00,1906.400000,0.000000,-1906.400000,0.000000,71.19,0.000000,0.000000,0.000000,100.000000,102.654050,2.654050,3000.00,1519.91,300000.000000,156002.313818,151991.000000,4011.313818,100.00,0.000000,0.000000,0.000000,102.654050,0.000000,0.000000,102.654050,2.654050,0.000000,0.000000,156002.313818,4011.313818,102.654050,0.000000,4011.313818
V3,neutral,100,10000.00,0.00,0.00,0.00,0.00,1573773.60,9332.20,6818.600000,0.000000,-6818.600000,0.000000,51.72,0.000000,0.000000,0.000000,100.000000,100.137864,0.137864,3000.00,2982.04,300000.000000,298616.613811,298204.000000,412.613811,61.00,0.215010,0.000000,0.000000,100.137864,0.000000,0.215010,100.137864,0.137864,0.000000,0.000000,298616.613811,412.613811,100.137864,0.000000,412.613811
V3,uptrend,100,10000.00,0.00,0.00,0.00,0.00,1447514.61,9380.43,12162.700000,0.000000,-12162.700000,0.000000,37.52,0.000000,0.000000,0.000000,100.000000,98.725500,-1.274499,3000.00,5924.69,300000.000000,584908.452892,592469.000000,-7560.547108,1.00,1.275011,0.000000,0.000000,98.725500,0.000000,1.275011,98.725500,-1.274499,0.000000,0.000000,584908.452892,-7560.547108,98.725500,0.000000,-7560.547108
V4,downtrend,100,5964.60,4035.40,0.00,0.00,0.00,41812.16,10000.00,-3062.800000,1971.200000,1091.600000,0.000000,30.42,0.000000,50545.800000,50545.800000,100.000000,76.019783,-23.980216,3000.00,1497.41,300000.000000,164378.869244,149741.000000,14637.869244,100.00,23.980216,35907.930755,23.980216,100.000000,14637.869244,0.000000,76.019783,-23.980216,50545.800000,50545.800000,164378.869244,14637.869244,100.000000,14637.869244,14637.869244
V4,neutral,100,5895.64,4104.36,0.00,0.00,0.00,48321.14,10000.00,-18.000000,-44.600000,62.600000,0.000000,17.84,0.000000,50031.300000,50031.300000,100.000000,83.376259,-16.623740,3000.00,3013.40,300000.000000,301286.282965,301340.000000,-53.717035,50.00,16.623740,48293.931787,16.028977,99.405236,1737.368212,0.594763,83.376259,-16.623740,50031.300000,50031.300000,301286.282965,-53.717035,99.405236,1737.368212,-53.717035
V4,uptrend,100,5964.12,4035.88,0.00,0.00,0.00,41865.62,10000.00,3459.800000,-2374.400000,-1085.400000,0.000000,12.41,0.000000,49457.300000,49457.300000,100.000000,87.982416,-12.017583,3000.00,5995.19,300000.000000,576932.477078,599519.000000,-22586.522922,0.00,12.017583,49457.300000,8.251216,96.233633,0.000000,3.766366,87.982416,-12.017583,49457.300000,49457.300000,576932.477078,-22586.522922,96.233633,0.000000,-22586.522922
V5,downtrend,100,5006.53,4993.47,0.00,0.00,0.00,41812.16,10000.00,-2593.500000,2440.500000,153.000000,9613.604729,28.20,0.000000,50076.500000,50076.500000,100.000000,75.759922,-24.240077,3000.00,1497.41,300000.000000,173134.127601,149741.000000,23393.127601,100.00,24.240077,36296.977127,24.240077,100.000000,13779.522872,0.000000,75.759922,-24.240077,50076.500000,50076.500000,173134.127601,23393.127601,100.000000,13779.522872,23393.127601
V5,neutral,100,5006.38,4993.62,0.00,0.00,0.00,48321.14,10000.00,-46.800000,-73.400000,120.200000,-590.041717,17.21,0.000000,50060.100000,50060.100000,100.000000,83.368729,-16.631270,3000.00,3013.40,300000.000000,300702.149099,301340.000000,-637.850901,49.00,16.631270,48315.722366,16.036294,99.405024,1744.377633,0.594975,83.368729,-16.631270,50060.100000,50060.100000,300702.149099,-637.850901,99.405024,1744.377633,-637.850901
V5,uptrend,100,5014.07,4985.93,0.00,0.00,0.00,41865.62,10000.00,2884.300000,-2949.900000,65.600000,-12200.600970,12.15,0.000000,50032.800000,50032.800000,100.000000,88.107116,-11.892883,3000.00,5995.19,300000.000000,566055.908520,599519.000000,-33463.091480,0.00,11.892883,50032.800000,8.347117,96.454233,0.000000,3.545766,88.107116,-11.892883,50032.800000,50032.800000,566055.908520,-33463.091480,96.454233,0.000000,-33463.091480
