Model,Metric,Downtrend,Neutral,Uptrend
V1,Runs,100,100,100
,Opened Longs,9996.20,10000.00,10000.00
,Opened Shorts,0.00,0.00,0.00
,Open Fail: Liquidity,3.80,0.00,0.00
,Open Fail: No Offset,0.00,0.00,0.00
,Close Success,9996.20,10000.00,10000.00
,Long Trade PnL,-4,944.40 USDC,263.40 USDC,6,115.80 USDC
,Short Trade PnL,0.00 USDC,0.00 USDC,0.00 USDC
,Pool Trade PnL,4,944.40 USDC,-263.40 USDC,-6,115.80 USDC
,Hedge PnL,0.00 USDC,0.00 USDC,0.00 USDC
,Max Utilization,86.34%,56.80%,38.44%
,Start USDC,0.00 USDC,0.00 USDC,0.00 USDC
,Start WETH,100.000000 ETH,100.000000 ETH,100.000000 ETH
,Start ETH Price,3,000.00 USDC,3,000.00 USDC,3,000.00 USDC
,Start Pool Value,300,000.00 USDC,300,000.00 USDC,300,000.00 USDC
,End USDC,52,453.20 USDC,49,868.30 USDC,46,942.10 USDC
,End WETH,77.052030 ETH,83.399056 ETH,87.445472 ETH
,End ETH Price,1,522.21 USDC,3,043.65 USDC,6,082.76 USDC
,End Pool Value,169,745.27 USDC,303,708.96 USDC,578,854.57 USDC
,Hold End Value,152,221.60 USDC,304,365.93 USDC,608,276.87 USDC
,Pool vs Hold,17,523.67 USDC,-656.97 USDC,-29,422.30 USDC
,Rebalance Success,100.00%,49.00%,0.00%
,Rebalance Needed,22.947969 ETH,16.600943 ETH,12.554527 ETH
,Rebalance USDC Spent,34,929.52 USDC,48,129.33 USDC,46,942.10 USDC
,Rebalance Bought WETH,22.947969 ETH,15.813563 ETH,7.717374 ETH
V2,Runs,100,100,100
,Opened Longs,9999.63,10000.00,10000.00
,Opened Shorts,0.00,0.00,0.00
,Open Fail: Liquidity,0.37,0.00,0.00
,Open Fail: No Offset,0.00,0.00,0.00
,Close Success,9999.63,10000.00,10000.00
,Long Trade PnL,-4,943.10 USDC,263.40 USDC,6,115.80 USDC
,Short Trade PnL,0.00 USDC,0.00 USDC,0.00 USDC
,Pool Trade PnL,4,943.10 USDC,-263.40 USDC,-6,115.80 USDC
,Hedge PnL,0.00 USDC,0.00 USDC,0.00 USDC
,Max Utilization,73.04%,52.19%,37.55%
,Start USDC,0.00 USDC,0.00 USDC,0.00 USDC
,Start WETH,100.000000 ETH,100.000000 ETH,100.000000 ETH
,Start ETH Price,3,000.00 USDC,3,000.00 USDC,3,000.00 USDC
,Start Pool Value,300,000.00 USDC,300,000.00 USDC,300,000.00 USDC
,End USDC,5,826.30 USDC,2,469.30 USDC,758.30 USDC
,End WETH,99.716385 ETH,99.181979 ETH,98.415680 ETH
,End ETH Price,1,522.22 USDC,3,043.65 USDC,6,082.76 USDC
,End Pool Value,157,616.22 USDC,304,344.27 USDC,599,398.12 USDC
,Hold End Value,152,222.09 USDC,304,365.93 USDC,608,276.87 USDC
,Pool vs Hold,5,394.12 USDC,-21.66 USDC,-8,878.74 USDC
,Rebalance Success,100.00%,53.00%,0.00%
,Rebalance Needed,0.283614 ETH,0.818020 ETH,1.584319 ETH
,Rebalance USDC Spent,432.17 USDC,1,662.29 USDC,758.30 USDC
,Rebalance Bought WETH,0.283614 ETH,0.546100 ETH,0.124671 ETH
V3,Runs,100,100,100
,Opened Longs,9999.76,10000.00,10000.00
,Opened Shorts,0.00,0.00,0.00
,Open Fail: Liquidity,0.24,0.00,0.00
,Open Fail: No Offset,0.00,0.00,0.00
,Close Success,9999.76,10000.00,10000.00
,Long Trade PnL,-4,943.60 USDC,263.40 USDC,6,115.80 USDC
,Short Trade PnL,0.00 USDC,0.00 USDC,0.00 USDC
,Pool Trade PnL,4,943.60 USDC,-263.40 USDC,-6,115.80 USDC
,Hedge PnL,0.00 USDC,0.00 USDC,0.00 USDC
,Max Utilization,71.18%,51.77%,37.46%
,Start USDC,0.00 USDC,0.00 USDC,0.00 USDC
,Start WETH,100.000000 ETH,100.000000 ETH,100.000000 ETH
,Start ETH Price,3,000.00 USDC,3,000.00 USDC,3,000.00 USDC
